brand,accel,topspeed,range,efficiency,charge,price,pricek,price_km
Aiways,9,150,335,188,350,56249,56.25,168
Audi,5.777777778,200,356.6666667,224.5555556,567.7777778,125726.1111,125.7266667,357.2222222
BMW,6.25,172.5,318.75,177.5,435,82907.5,82.9075,263.5
Byton,7.333333333,190,371.6666667,234.6666667,453.3333333,93340,93.34,251.6666667
Citroen,10,150,250,180,380,62400,62.4,250
CUPRA,7,160,425,181,570,70200,70.2,165
DS,9,150,250,180,380,58378,58.38,234
Fiat,9,150,250,168,330,56784,56.78,227
Ford,6.5,180,395,202.25,395,85127.25,85.125,217
Honda,9,145,170,168,190,53756,53.76,316.5
Hyundai,9.333333333,162.3333333,301.6666667,155.6666667,266.6666667,56797,56.8,194
Jaguar,5,200,365,232,340,117548,117.55,322
Kia,8.8,162.6,313,172,292,55945.4,55.946,185.6
Lexus,8,160,270,193,190,78000,78,289
Lightyear,10,150,575,104,540,232440,232.44,404
Lucid,3,250,610,180,620,163800,163.8,269
Mazda,9,150,180,178,240,50928,50.93,283
Mercedes,6.666666667,173.3333333,350,220,390,96259.66667,96.26,276
MG,8,140,220,193,260,46800,46.8,213
Mini,7,150,185,156,260,49422,49.42,267
Nissan,7.75,168,328.125,194.75,395,71607.375,71.6075,221.625
Opel,8,150,288.3333333,171,340,55147,55.14666667,191.3333333
Peugeot,8.5,150,262.5,172,400,49953.5,49.95,191
Polestar,5,210,400,181,620,88046,88.05,220
Porsche,3.6,254,388,209.4,796,215694.6,215.694,558.8
Renault,13.4,135,234,170.4,230,48778.2,48.78,233.6
SEAT,12,130,195,166,170,31401,31.4,161
Skoda,8.833333333,158.3333333,337.5,182.5,413.3333333,59678.83333,59.67833333,179.5
Smart,12.33333333,130,96.66666667,173,0,35350.66667,35.35,366.3333333
Sono,9,140,225,156,270,39780,39.78,177
Tesla,4.230769231,244.4615385,500.7692308,201.3846154,730,125224.6923,125.2238462,244.9230769
Volkswagen,8.875,155,318.125,170.875,402.5,53979.75,53.98,175.875
Volvo,5,180,375,200,470,94282,94.28,251
